text,label
"How do I reverse a linked list in Python?",data_structures
"What is the time complexity of quicksort?",algorithms
"Explain binary search tree insertion",data_structures
"How does gradient descent work?",machine_learning
"What is a REST API?",web_development
"Difference between TCP and UDP protocols",networking
"How do I center a div in CSS?",web_development
"What is overfitting in machine learning?",machine_learning
"Explain the OSI model layers",networking
"What is a hash map and how does it work?",data_structures
"How do I implement a queue using stacks?",data_structures
"What is Big O notation?",algorithms
"How does backpropagation work in neural networks?",machine_learning
"What is Docker and how does containers work?",devops
"Explain merge sort algorithm",algorithms
"How do I use Git rebase?",devops
"What is a foreign key in SQL?",databases
"How does HTTP/2 differ from HTTP/1.1?",networking
"What is a closure in JavaScript?",web_development
"How does k-means clustering work?",machine_learning
"What is a B-tree index?",databases
"Explain the CAP theorem",databases
"How does Kubernetes orchestrate containers?",devops
"What is the difference between stack and heap memory?",data_structures
"How do I normalize a database?",databases
"What is dynamic programming?",algorithms
"Explain CORS in web development",web_development
"How does CI/CD pipeline work?",devops
"What is a decision tree classifier?",machine_learning
"How do I write a bubble sort?",algorithms
"What is an API gateway?",web_development
"Explain the difference between SQL and NoSQL",databases
"How do I configure Nginx as a reverse proxy?",devops
"What is a graph traversal algorithm?",algorithms
"How does JWT authentication work?",web_development
"What is a convolutional neural network?",machine_learning
"How do I use Terraform for infrastructure?",devops
"What is ACID in database transactions?",databases
"How does load balancing work?",networking
"What is a trie data structure?",data_structures
"Explain support vector machines",machine_learning
"How do I set up a VPN?",networking
"What is database sharding?",databases
"How do I implement a heap in Python?",data_structures
"What is GraphQL?",web_development
"Explain the traveling salesman problem",algorithms
"How does Redis work as a cache?",databases
"What is an ensemble method in ML?",machine_learning
"How do I use Ansible for automation?",devops
"What is subnet masking?",networking
"How does a hash function work?",algorithms
"What is React virtual DOM?",web_development
"Explain transfer learning in AI",machine_learning
"How does DNS resolution work?",networking
"What is a microservices architecture?",devops
"What is the difference between DFS and BFS?",algorithms
"How do I design a relational schema?",databases
"What is SSL/TLS handshake?",networking
"How do I implement rate limiting in FastAPI?",web_development
"What is random forest algorithm?",machine_learning
